Year,Month,Day,Hour,Minute,Second,nSAT,Lon,Lat,Alt,Speed,hDOP
2021,11,28,12,42,54,11,18.832699,47.120438,100.4,34.53,90
2021,11,28,12,42,54,11,18.832666,47.120461,100.4,34.53,90
2021,11,28,12,42,54,11,18.832636,47.120483,100.4,34.53,90
2021,11,28,12,42,54,11,18.832603,47.120506,100.3,34.53,90
2021,11,28,12,42,54,11,18.832569,47.120525,100.3,34.53,90
2021,11,28,12,42,54,11,18.832539,47.120548,100.3,34.53,90
2021,11,28,12,42,54,11,18.832506,47.120571,100.3,34.53,90
2021,11,28,12,42,54,11,18.832476,47.120594,100.3,34.53,90
2021,11,28,12,42,55,11,18.832441,47.120613,100.3,34.53,90
2021,11,28,12,42,55,11,18.832411,47.120636,100.3,34.53,90
2021,11,28,12,42,55,11,18.832378,47.120659,100.3,34.53,90
2021,11,28,12,42,55,11,18.832344,47.120682,100.3,34.53,90
2021,11,28,12,42,55,11,18.832314,47.120701,100.3,34.53,90
2021,11,28,12,42,55,11,18.832279,47.120724,100.3,34.53,90
2021,11,28,12,42,55,11,18.832249,47.120747,100.3,34.53,90
2021,11,28,12,42,55,11,18.832214,47.120770,100.3,34.53,90
2021,11,28,12,42,55,11,18.832184,47.120789,100.3,34.53,90
2021,11,28,12,42,55,11,18.832150,47.120811,100.3,34.53,90
2021,11,28,12,42,56,11,18.832117,47.120834,100.3,34.53,90
2021,11,28,12,42,56,11,18.832085,47.120853,100.3,34.53,90
2021,11,28,12,42,56,11,18.832052,47.120876,100.3,34.53,90
2021,11,28,12,42,56,11,18.832018,47.120899,100.3,34.53,90
2021,11,28,12,42,56,11,18.831987,47.120918,100.3,34.53,90
2021,11,28,12,42,56,11,18.831953,47.120941,100.3,34.53,90
2021,11,28,12,42,56,11,18.831921,47.120964,100.3,34.53,90
2021,11,28,12,42,56,11,18.831888,47.120983,100.3,34.53,90
2021,11,28,12,42,56,11,18.831856,47.121006,100.3,34.53,90
2021,11,28,12,42,56,11,18.831821,47.121025,100.3,34.53,90
2021,11,28,12,42,57,11,18.831789,47.121048,100.3,34.53,90
2021,11,28,12,42,57,11,18.831757,47.121071,100.4,34.53,90
2021,11,28,12,42,57,11,18.831724,47.121090,100.4,34.53,90
2021,11,28,12,42,57,11,18.831690,47.121113,100.4,34.53,90
2021,11,28,12,42,57,11,18.831657,47.121132,100.4,34.53,90
2021,11,28,12,42,57,11,18.831625,47.121155,100.4,34.53,90
2021,11,28,12,42,57,11,18.831593,47.121178,100.4,34.53,90
2021,11,28,12,42,57,11,18.831558,47.121197,100.4,34.53,90
2021,11,28,12,42,57,11,18.831526,47.121220,100.4,34.53,90
2021,11,28,12,42,57,11,18.831491,47.121239,100.4,34.53,90
2021,11,28,12,42,58,11,18.831459,47.121262,100.4,34.53,90
2021,11,28,12,42,58,11,18.831427,47.121281,100.4,34.53,90
2021,11,28,12,42,58,11,18.831394,47.121304,100.4,34.53,90
2021,11,28,12,42,58,11,18.831360,47.121326,100.4,34.53,90
2021,11,28,12,42,58,11,18.831327,47.121346,100.5,34.53,90
2021,11,28,12,42,58,11,18.831295,47.121368,100.5,34.53,90
2021,11,28,12,42,58,11,18.831263,47.121387,100.5,34.53,90
2021,11,28,12,42,58,11,18.831228,47.121407,100.5,34.53,90
2021,11,28,12,42,58,11,18.831196,47.121429,100.5,34.53,90
2021,11,28,12,42,58,11,18.831161,47.121449,100.6,34.53,90
2021,11,28,12,42,59,11,18.831129,47.121471,100.6,34.53,90
2021,11,28,12,42,59,11,18.831095,47.121494,100.6,34.53,90
2021,11,28,12,42,59,11,18.831064,47.121513,100.6,34.53,90
2021,11,28,12,42,59,11,18.831030,47.121536,100.6,34.53,90
2021,11,28,12,42,59,11,18.830997,47.121555,100.6,34.53,90
2021,11,28,12,42,59,11,18.830963,47.121578,100.6,34.53,90
