Year,Month,Day,Hour,Minute,Second,nSAT,Lon,Lat,Alt1,Alt2,hAcc,vAcc,speed,speedAcc,PDOP
2021,10,17,15,31,48,9,204106560,477503650,152889.89,114607.92,4238,6695,22199.99,376,187
2021,10,17,15,31,48,9,204105970,477503550,152817.89,114535.92,4218,6661,22328.99,373,186
2021,10,17,15,31,49,9,204105380,477503420,152733.89,114450.92,4199,6631,22455.99,374,186
2021,10,17,15,31,49,9,204104780,477503330,152741.89,114458.92,4185,6611,22665.99,397,186
2021,10,17,15,31,49,9,204104190,477503200,152765.89,114482.92,4171,6592,22736.99,402,186
2021,10,17,15,31,49,9,204103600,477503100,152817.89,114534.92,4158,6574,22814.99,403,186
2021,10,17,15,31,49,9,204103010,477502980,152836.89,114553.92,4144,6554,22981.99,401,186
2021,10,17,15,31,50,9,204102400,477502850,152771.89,114488.92,4132,6536,23132.99,403,186
2021,10,17,15,31,50,9,204101810,477502720,152838.89,114555.92,4115,6504,23272.99,389,186
2021,10,17,15,31,50,9,204101200,477502620,152897.89,114614.92,4101,6479,23531.99,392,186
2021,10,17,15,31,50,9,204100590,477502500,152945.89,114662.92,4088,6457,23600.99,397,186
2021,10,17,15,31,50,9,204099970,477502370,152890.89,114607.92,4076,6435,23750.99,394,186
2021,10,17,15,31,51,9,204099360,477502240,152940.89,114657.92,4063,6414,23789.99,393,186
2021,10,17,15,31,51,9,204098740,477502140,152928.89,114645.92,4051,6394,23914.99,394,186
2021,10,17,15,31,51,9,204098130,477502020,153003.89,114720.92,4038,6375,23950.99,393,186
2021,10,17,15,31,51,9,204097500,477501890,153126.89,114843.92,4027,6356,24109.99,396,186
2021,10,17,15,31,51,9,204096880,477501760,153034.89,114751.92,4016,6337,24065.99,394,186
2021,10,17,15,31,52,9,204096260,477501660,153173.89,114890.92,4006,6319,24123.99,391,186
2021,10,17,15,31,52,9,204095650,477501540,153354.89,115071.92,3999,6309,24129.99,417,186
2021,10,17,15,31,52,9,204095020,477501410,153380.89,115097.92,3993,6300,24062.99,424,186
2021,10,17,15,31,52,9,204094420,477501280,153441.89,115158.92,3987,6292,23967.99,427,186
2021,10,17,15,31,52,9,204093790,477501150,153487.89,115203.92,3984,6286,24085.99,459,186
2021,10,17,15,31,53,9,204093170,477501020,153521.89,115238.92,3983,6281,24122.99,531,186
2021,10,17,15,31,53,9,204092540,477500900,153571.89,115287.92,3983,6276,24046.99,558,186
2021,10,17,15,31,53,9,204091920,477500800,153584.89,115301.92,3981,6272,24078.99,490,186
2021,10,17,15,31,53,9,204091300,477500670,153663.89,115379.92,3980,6268,24169.99,476,186
2021,10,17,15,31,53,9,204090670,477500540,153660.89,115376.92,3979,6265,24089.99,474,186
2021,10,17,15,31,54,9,204090050,477500420,153638.89,115354.92,3980,6263,24063.99,479,186
2021,10,17,15,31,54,9,204089420,477500320,153689.89,115405.92,3981,6261,24132.99,483,186
2021,10,17,15,31,54,9,204088800,477500190,153575.89,115291.92,3982,6261,24077.99,485,186
2021,10,17,15,31,54,9,204088180,477500060,153655.89,115371.92,3984,6260,24144.99,484,186
2021,10,17,15,31,54,9,204087580,477499940,153820.89,115536.92,3985,6259,23885.99,481,186
2021,10,17,15,31,55,9,204086980,477499840,154110.89,115825.92,3983,6255,23780.99,458,186
2021,10,17,15,31,55,9,204086370,477499710,154208.89,115924.92,3982,6252,23877.99,460,186
2021,10,17,15,31,55,9,204085740,477499580,154341.89,116057.92,3982,6251,23885.99,465,186
2021,10,17,15,31,55,9,204085140,477499490,154332.89,116048.92,3982,6249,23869.99,468,186
2021,10,17,15,31,55,9,204084510,477499360,154330.89,116046.92,3984,6249,23874.99,526,186
2021,10,17,15,31,56,9,204083900,477499230,154301.89,116016.92,3988,6250,23969.99,557,186
2021,10,17,15,31,56,9,204083280,477499100,154242.89,115958.92,3992,6254,23989.99,568,186
2021,10,17,15,31,56,9,204082660,477498980,154128.89,115844.92,3995,6254,24131.99,571,186
2021,10,17,15,31,56,9,204082020,477498850,154019.89,115735.92,3999,6254,24214.99,574,186
2021,10,17,15,31,56,9,204081390,477498720,153931.89,115647.92,4005,6256,24252.99,594,186
2021,10,17,15,31,57,9,204080770,477498590,153879.89,115594.92,4012,6258,24301.99,606,186
2021,10,17,15,31,57,9,204080140,477498460,153846.89,115562.92,4023,6262,24256.99,621,186
2021,10,17,15,31,57,9,204079540,477498340,153776.89,115491.92,4030,6264,24126.99,616,186
2021,10,17,15,31,57,9,204078930,477498210,153736.89,115451.92,4039,6267,24012.99,618,186
2021,10,17,15,31,57,9,204078320,477498080,153749.89,115464.92,4052,6272,23957.99,667,186
2021,10,17,15,31,58,9,204077700,477497950,153614.89,115329.92,4067,6278,23976.99,695,186
2021,10,17,15,31,58,9,204077070,477497820,153497.89,115212.92,4084,6284,23974.99,706,186
2021,10,17,15,31,58,9,204076480,477497730,153539.89,115254.92,4104,6291,23725.99,715,186
2021,10,17,15,31,58,9,204075870,477497600,153661.89,115376.92,4125,6299,23784.99,723,186
2021,10,17,15,31,58,9,204075260,477497470,153770.89,115485.92,4150,6308,23802.99,728,186
2021,10,17,15,31,59,9,204074660,477497380,153765.89,115480.92,4173,6317,23809.99,725,186
